AA  US Equity,2015/04/08,2015/02/23,2015/05/20,0.28,0.257
AAPL  US Equity,2015/04/27,2015/03/12,2015/06/09,2.33,2.16026
ABBV  US Equity,2015/04/23,2015/03/10,2015/06/05,0.94,0.850833
ABC  US Equity,2015/04/30,2015/03/17,2015/06/12,1.45,1.186
ABT  US Equity,2015/04/22,2015/03/09,2015/06/04,0.47,0.425
ACN  US Equity,2015/06/25,2015/05/12,2015/08/07,1.3,1.22895
ADBE  US Equity,2015/06/16,2015/05/01,2015/07/29,0.48,0.452609
ADM  US Equity,2015/05/05,2015/03/20,2015/06/17,0.77,0.711
ADS  US Equity,2015/04/16,2015/03/03,2015/05/29,3.65,3.4375
ADSK  US Equity,2015/05/19,2015/04/06,2015/07/01,0.3,0.281875
AEE  US Equity,2015/05/07,2015/03/24,2015/06/19,0.45,0.369
AEP  US Equity,2015/04/23,2015/03/10,2015/06/05,1.28,1.12615
AET  US Equity,2015/04/28,2015/03/13,2015/06/10,2.39,1.94765
AGN  US Equity,2015/05/11,2015/03/26,2015/06/23,4.3,3.91909
ALLE  US Equity,2015/04/30,2015/03/17,2015/06/12,0.51,0.4675
AMAT  US Equity,2015/05/14,2015/03/31,2015/06/26,0.29,0.279
AMGN  US Equity,2015/04/21,2015/03/06,2015/06/03,2.48,2.10056
AMT  US Equity,2015/04/30,2015/03/17,2015/06/12,1.25,1.11
AN  US Equity,2015/04/22,2015/03/09,2015/06/04,0.97,0.886364
ANTM  US Equity,2015/04/29,2015/03/16,2015/06/11,3.14,2.67632
AON  US Equity,2015/05/01,2015/03/18,2015/06/15,1.37,1.28381
AVY  US Equity,2015/04/29,2015/03/16,2015/06/11,0.81,0.694286
AWK  US Equity,2015/05/06,2015/03/23,2015/06/18,0.44,0.408462
AXP  US Equity,2015/04/16,2015/03/03,2015/05/29,1.48,1.367
BA  US Equity,2015/04/22,2015/03/09,2015/06/04,1.97,1.80235
BAX  US Equity,2015/04/23,2015/03/10,2015/06/05,1,0.878
BBY  US Equity,2015/05/21,2015/04/08,2015/07/06,0.37,0.293
BDX  US Equity,2015/05/07,2015/03/24,2015/06/19,1.61,1.53
BEN  US Equity,2015/04/29,2015/03/16,2015/06/11,0.98,0.860625
BK  US Equity,2015/04/22,2015/03/09,2015/06/04,0.67,0.594
BLK  US Equity,2015/04/16,2015/03/03,2015/05/29,4.89,4.519
BMY  US Equity,2015/04/28,2015/03/13,2015/06/10,0.71,0.498824
BXP  US Equity,2015/04/27,2015/03/12,2015/06/09,1.3,1.24227
C  US Equity,2015/04/16,2015/03/03,2015/05/29,1.52,1.38778
CA  US Equity,2015/05/07,2015/03/24,2015/06/19,0.56,0.498
CAT  US Equity,2015/04/23,2015/03/10,2015/06/05,1.72,1.34619
CBG  US Equity,2015/04/29,2015/03/16,2015/06/11,0.32,0.258333
CBS  US Equity,2015/05/07,2015/03/24,2015/06/19,0.78,0.75
CCE  US Equity,2015/04/30,2015/03/17,2015/06/12,0.42,0.403
CCL  US Equity,2015/06/23,2015/05/08,2015/08/05,0.25,0.168235
